source_roi,target_roi,empirical_mi_drop
4,1,-0.0004665033586382372
13,10,-0.0004672034346950016
1,11,-0.00046795206184485627
0,2,-0.0004682245023464593
7,14,-0.0004694619141653589
6,10,-0.00047035162811509545
3,14,-0.000494132532400493
7,5,-0.0004950234574079282
5,16,-0.0004953469027315638
9,8,-0.0004955553093577217
13,14,-0.000496168936792607
8,3,-0.0004995943059001307
4,14,-0.0005024947807873992
0,18,-0.0005056180489039774
7,0,-0.000514631674354532
0,14,-0.0005193326182534042
18,9,-0.0005205110606973373
1,15,-0.0005212494909629661
10,8,-0.0005257536168558827
11,12,-0.0005317446618573474
3,6,-0.0005475105348928533
6,5,-0.0005484250879850272
10,13,-0.0005833400329526839
3,4,-0.000583640472847119
1,6,-0.0005893784426765636
13,0,-0.0006483861562576188
18,6,-0.000648532407253849
8,0,-0.0006538803020845474
11,0,-0.0006821090469928126
1,0,-0.000683543643821588
15,1,-0.0006837776705851395
6,14,-0.0006991483133104159
7,18,-0.0007072821731961831
11,10,-0.0007094770353933966
14,7,-0.0007198127692336076
6,9,-0.0007222372656478793
0,11,-0.0007286627371990706
18,7,-0.0007371099614074117
12,6,-0.0007605032389698119
8,9,-0.0007721672582338412
8,12,-0.0007898810124903899
14,10,-0.0008387217868904007
13,9,-0.0008389078973613517
15,10,-0.0008449877088738955
9,0,-0.0008453007632859
0,1,-0.0008523741355831449
3,18,-0.0008539420774290041
15,6,-0.0008866672662915243
17,16,-0.0008923826143746871
5,7,-0.0009022368007927106
13,2,-0.0009068979262578658
5,14,-0.0009074083001763822
10,11,-0.0009250849620376922
14,2,-0.0009706701298754505
13,5,-0.0009776468165822172
10,5,-0.0009841968787148991
14,18,-0.0009920089567193313
14,13,-0.001032709023361389
2,13,-0.0010348446231321917
11,17,-0.0010476828552290485
10,14,-0.0010728694346474055
10,0,-0.0011588256120834417
14,8,-0.001163806288766292
5,18,-0.0011755809578815057
8,6,-0.001175936162217034
12,1,-0.0011845978140497815
8,10,-0.0011936792724992207
9,6,-0.0012364720066624507
10,1,-0.0012420954253806182
17,5,-0.0012496296612007074
8,5,-0.0012629602646224147
12,16,-0.0012822614360841755
11,16,-0.0013102266977595423
7,1,-0.0013261425044391317
8,7,-0.0013414714601484856
5,10,-0.0014837397817549502
12,2,-0.0014858517829004214
11,6,-0.0014890563449706656
7,16,-0.0015245794500928778
2,16,-0.0015261736120007474
14,5,-0.00156052005176463
2,15,-0.0017071535338952781
7,6,-0.0017096298714890101
13,6,-0.001764971336561616
11,15,-0.0019219199682048993
18,1,-0.001977349028129183
14,9,-0.00203006164195646
4,16,-0.0021571555372808526
15,13,-0.0022684343667407347
5,0,-0.0023159179278097464
13,15,-0.0023165236437893977
5,9,-0.0023196926036013754
13,16,-0.0023333559102269863
14,3,-0.002373949574055345
5,13,-0.0023949358724481007
6,16,-0.0024144953276852843
9,16,-0.0024501092289844206
12,0,-0.002549628874030735
17,18,-0.002566417416005176
15,3,-0.0025737231225186896
1,16,-0.0026341180941527043
6,13,-0.002670197175414224
10,16,-0.002726518385998966
5,15,-0.0027936379036170023
3,16,-0.0028052708715842756
8,13,-0.0028903260147378207
7,11,-0.0029388822260776326
14,16,-0.003384658322933165
2,11,-0.003396634297365808
15,16,-0.0035478876533525106
2,3,-0.003690058567103749
8,16,-0.003997812694363223
18,11,-0.004049807989224663
6,11,-0.004204653638355982
0,16,-0.005225932415263368
18,16,-0.005651515499179083
